mode,category,sub_category,challenge,requirement,tier1_complete,tier2_complete,tier3_complete,tier4_complete,tier5_complete,completed,tier1_target,tier2_target,tier3_target,tier4_target,tier5_target,notes
Multiplayer,Hardened,Going Ham,Four Piece Dinner,"Earn a Quad Feed Medal",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Hardened,Humiliation,Sneak Attack,"Get 15 Back Stabber Medals",TRUE,TRUE,TRUE,N/A,N/A,TRUE,5,10,15,N/A,N/A,
Multiplayer,Hardened,Humiliation,From the Grave,"Earn 15 Afterlife Medals",TRUE,TRUE,TRUE,N/A,N/A,TRUE,5,10,15,N/A,N/A,
Multiplayer,Hardened,Humiliation,Unforgiving,"Earn 30 Revenge Medals",TRUE,TRUE,TRUE,N/A,N/A,TRUE,10,20,30,N/A,N/A,
Multiplayer,Hardened,Humiliation,Trickster,"Kill an enemy distracted by your Echo Unit Field Upgrade 5 times",TRUE,TRUE,TRUE,N/A,N/A,TRUE,1,3,5,N/A,N/A,
Multiplayer,Hardened,Humiliation,Sticky Bomber,"Earn 25 Stick Medals",TRUE,TRUE,TRUE,N/A,N/A,TRUE,1,10,25,N/A,N/A,
Multiplayer,Hardened,Humiliation,Silent Assassin,"Get a Kill with a Melee Weapon from behind while cloaked from Active Camo",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Super Killer Prestige 1,Super Double,"Earn a Double Kill Medal with both Kills being Headshots 10 times",TRUE,TRUE,TRUE,N/A,N/A,TRUE,1,5,10,N/A,N/A,
Multiplayer,Prestige,Super Killer Prestige 1,Super Triple,"Earn a Triple Kill Medal using Melee Weapons 3 times",TRUE,TRUE,FALSE,N/A,N/A,FALSE,1,2,3,N/A,N/A,
Multiplayer,Prestige,Super Killer Prestige 1,Super Fury,"Earn 5 Fury Kill Medals",TRUE,N/A,N/A,N/A,N/A,TRUE,5,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Super Killer Prestige 1,Super Thirsty,"Earn 5 Objective Kills without dying",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Super Killer Prestige 1,Super Merciless,"Get 10 Kills with Weapons without dying",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Super Killer Prestige 1,Super Ruthless,"Get 15 Kills without dying or activating any Scorestreaks",FALSE,N/A,N/A,N/A,N/A,FALSE,1,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Master Of Arms Prestige 2,Ol' Reliable,"Get 300 Eliminations with Assault Rifles",TRUE,TRUE,TRUE,N/A,N/A,TRUE,50,150,300,N/A,N/A,
Multiplayer,Prestige,Master Of Arms Prestige 2,Rusher for Life,"Get 300 Eliminations with SMGs",TRUE,TRUE,TRUE,N/A,N/A,TRUE,50,150,300,N/A,N/A,
Multiplayer,Prestige,Master Of Arms Prestige 2,Buckshot,"Get 150 Point Blank Kills with Shotguns",TRUE,TRUE,TRUE,N/A,N/A,TRUE,25,75,150,N/A,N/A,
Multiplayer,Prestige,Master Of Arms Prestige 2,Squad Support,"Get 300 Eliminations with LMGs",TRUE,TRUE,TRUE,N/A,N/A,TRUE,50,150,300,N/A,N/A,
Multiplayer,Prestige,Master Of Arms Prestige 2,Center Mass,"Get 100 One Shot Kills with Sniper Rifles",TRUE,TRUE,TRUE,N/A,N/A,TRUE,25,50,100,N/A,N/A,
Multiplayer,Prestige,Master Of Arms Prestige 2,Faster Than Reloading,"Get 150 Eliminations with Pistols",TRUE,TRUE,TRUE,N/A,N/A,TRUE,25,75,150,N/A,N/A,
Multiplayer,Prestige,Perk Pro Prestige 3,Running and Gunning,"With Gung Ho equipped get 25 Weapon Kills while sprinting",TRUE,N/A,N/A,N/A,N/A,TRUE,25,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Perk Pro Prestige 3,Steeled Resolve,"With Close Shave equipped get 30 Kills with Melee Weapons",TRUE,N/A,N/A,N/A,N/A,TRUE,30,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Perk Pro Prestige 3,Vultured,"With Scavenger equipped kill an enemy after collecting ammo from an Ammo Pack 25 times",TRUE,N/A,N/A,N/A,N/A,TRUE,25,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Perk Pro Prestige 3,Unbreakable,"With Flak Jacket equipped get 5 Kills while damaged by an enemy Lethal",TRUE,N/A,N/A,N/A,N/A,TRUE,5,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Perk Pro Prestige 3,Saboteur,"With Engineer equipped destroy 10 enemy Scorestreaks or Equipment",TRUE,N/A,N/A,N/A,N/A,TRUE,10,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Perk Pro Prestige 3,Linked Up,"With Charge Link equipped kill 20 enemies with or while assisted by Field Upgrades",TRUE,N/A,N/A,N/A,N/A,TRUE,20,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Big Plays Prestige 4,Movie Star,"Get featured in the Best Play 10 times",TRUE,TRUE,TRUE,N/A,N/A,TRUE,1,5,10,N/A,N/A,
Multiplayer,Prestige,Big Plays Prestige 4,High Scorer,"Earn 10000 Score in a single match",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Big Plays Prestige 4,Gear Horde,"Get a Kill with 5 Weapons you picked up in a single match",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Big Plays Prestige 4,Keep it 100,"Get 100 Eliminations with a Weapon equipped with Shattered Gold Camo",TRUE,N/A,N/A,N/A,N/A,TRUE,100,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Big Plays Prestige 4,Jackpot,"Get 5 Kills with a single Scorestreak acquired from a Care Package",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Big Plays Prestige 4,Bling,"Get 250 Eliminations with a Weapon equipped with Arclight Camo",FALSE,N/A,N/A,N/A,N/A,FALSE,250,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Trade Tools Prestige 5,Can't Hide,"Shoot through a wall to kill an enemy revealed by your Pinpoint Grenade 3 times",TRUE,FALSE,FALSE,N/A,N/A,FALSE,1,2,3,N/A,N/A,
Multiplayer,Prestige,Trade Tools Prestige 5,Strange Trip,"Kill 15 enemies who are hallucinating from your Psych Grenade or Cradle Trap",TRUE,TRUE,TRUE,N/A,N/A,TRUE,5,10,15,N/A,N/A,
Multiplayer,Prestige,Trade Tools Prestige 5,Fun Police,"Destroy 25 Scorestreaks Equipment or Field Upgrades with Hunter Bot",TRUE,TRUE,TRUE,N/A,N/A,TRUE,5,10,25,N/A,N/A,
Multiplayer,Prestige,Trade Tools Prestige 5,Luck or Skill?,"Kill an enemy from at least 40 meters away with a thrown Lethal 15 times",TRUE,TRUE,TRUE,N/A,N/A,TRUE,5,10,15,N/A,N/A,
Multiplayer,Prestige,Trade Tools Prestige 5,Grouped Up,"Get 30 Kills with the Cluster Grenade",TRUE,TRUE,TRUE,N/A,N/A,TRUE,5,15,30,N/A,N/A,
Multiplayer,Prestige,Trade Tools Prestige 5,Remote Operations,"Get 25 Objective Kills with Point Turret C4 or Needle Drone",TRUE,TRUE,TRUE,N/A,N/A,TRUE,5,15,25,N/A,N/A,
Multiplayer,Prestige,Special Ops Expert Prestige 6,Getting W's,"Earn 15000 Objective Score",TRUE,TRUE,TRUE,N/A,N/A,TRUE,5000,10000,15000,N/A,N/A,
Multiplayer,Prestige,Special Ops Expert Prestige 6,Blitzkrieg,"Earn 10 Objective Kills in a single match 15 times",TRUE,TRUE,TRUE,N/A,N/A,TRUE,5,10,15,N/A,N/A,
Multiplayer,Prestige,Special Ops Expert Prestige 6,The Iron Curtain,"Get 2 Kills while defending Objectives without leaving the Objective 15 times",TRUE,TRUE,TRUE,N/A,N/A,TRUE,5,10,15,N/A,N/A,
Multiplayer,Prestige,Special Ops Expert Prestige 6,Is it a Spider?,"Kill an enemy with a Body Shield Explosion 3 times",FALSE,FALSE,FALSE,N/A,N/A,FALSE,1,2,3,N/A,N/A,
Multiplayer,Prestige,Special Ops Expert Prestige 6,Subterfuge,"With a Suppressor equipped kill an enemy from behind with a Sniper Rifle 5 times",TRUE,N/A,N/A,N/A,N/A,TRUE,5,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Special Ops Expert Prestige 6,And My Axe,"Get 3 Kills with the Combat Axe without dying",FALSE,N/A,N/A,N/A,N/A,FALSE,1,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Advanced Systems Prestige 7,On the Fritz,"Affect 2 or more items with a single EMP Grenade 5 times",TRUE,N/A,N/A,N/A,N/A,TRUE,5,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Advanced Systems Prestige 7,Hunter/Killer,"Get a Kill while piloting the Needle Drone 10 times",TRUE,N/A,N/A,N/A,N/A,TRUE,10,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Advanced Systems Prestige 7,Cloak Engaged,"Get 15 Headshots while cloaked from Active Camo",TRUE,N/A,N/A,N/A,N/A,TRUE,15,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Advanced Systems Prestige 7,Now That's Just Rude,"Kill 3 enemies in a single match with the Skewer Scorestreak",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Advanced Systems Prestige 7,Surprise Snipe,"Kill 15 enemies through walls with the Gravemaker Scorestreak",TRUE,N/A,N/A,N/A,N/A,TRUE,15,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Advanced Systems Prestige 7,I'm In,"Steal 5 Equipment or Scorestreaks with the Black Hat",TRUE,N/A,N/A,N/A,N/A,TRUE,5,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Royal Flush Prestige 8,Fully Loaded,"Get a Double Kill with both equipped Primary Weapons in the same life 3 times",TRUE,N/A,N/A,N/A,N/A,TRUE,3,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Royal Flush Prestige 8,One Man Army,"With Specialist Wildcard equipped get 15 Kills while the Specialist Bonus is active",TRUE,N/A,N/A,N/A,N/A,TRUE,15,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Royal Flush Prestige 8,Very Greedy,"With Perk Greed and 4 Perks of the same Combat Specialty equipped get 100 Eliminations",TRUE,N/A,N/A,N/A,N/A,TRUE,100,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Royal Flush Prestige 8,Darken the Sky,"With High Roller equipped get a Kill with 4 different Scorestreaks in a single match",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Royal Flush Prestige 8,Catch,"With Danger Close equipped get 3 Kills with a Lethal without dying 5 times excluding Combat Axes",FALSE,N/A,N/A,N/A,N/A,FALSE,5,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Royal Flush Prestige 8,Finely Tuned,"With Gunfighter equipped get 3 Triple Kills with a Weapon that has 8 Attachments",TRUE,N/A,N/A,N/A,N/A,TRUE,3,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Death Architect Prestige 9,Ready for Anything,"Get a Kill with an Underbarrel Launcher equipped to an Assault Rifle 30 times",TRUE,TRUE,TRUE,N/A,N/A,TRUE,5,15,30,N/A,N/A,
Multiplayer,Prestige,Death Architect Prestige 9,Heavy Blockade,"Get 50 Objective Kills while using a Control Stock Attachment",TRUE,TRUE,TRUE,N/A,N/A,TRUE,10,25,50,N/A,N/A,
Multiplayer,Prestige,Death Architect Prestige 9,Bottomless Mags,"Get 3 Kills without reloading using an Extended Magazine Attachment 10 times",TRUE,TRUE,TRUE,N/A,N/A,TRUE,1,5,10,N/A,N/A,
Multiplayer,Prestige,Death Architect Prestige 9,Quickdraw,"With Quickdraw Grip equipped get a Kill immediately after ADS 50 times",TRUE,TRUE,TRUE,N/A,N/A,TRUE,10,25,50,N/A,N/A,
Multiplayer,Prestige,Death Architect Prestige 9,Rushed Down,"Get 10 Double Kills with an SMG equipped with Grip Stock Magazine and Muzzle Attachments",TRUE,N/A,N/A,N/A,N/A,TRUE,10,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Death Architect Prestige 9,Expert Marksman,"Get 25 Headshots while focused with a High Zoom Optic on a Sniper Rifle or Marksman Rifle",TRUE,N/A,N/A,N/A,N/A,TRUE,25,N/A,N/A,N/A,N/A,
Multiplayer,Prestige,Spliced Prestige 10,Silent Benefactor,"Get 50 Stealth Kills while using the Operative Hybrid Combat Specialty",TRUE,TRUE,TRUE,N/A,N/A,TRUE,10,25,50,N/A,N/A,
Multiplayer,Prestige,Spliced Prestige 10,Phantom Strike,"Get 50 Kills while hidden from the minimap from the Scout Hybrid Combat Specialty",TRUE,TRUE,TRUE,N/A,N/A,TRUE,10,25,50,N/A,N/A,
Multiplayer,Prestige,Spliced Prestige 10,Immovable Object,"Get 50 Kills while the buff from the Tactician Hybrid Combat Specialty is active",TRUE,TRUE,TRUE,N/A,N/A,TRUE,10,25,50,N/A,N/A,
Multiplayer,Prestige,Spliced Prestige 10,Bouncer,"Get 50 Kills while the buff from Enforcer Combat Specialty is active",TRUE,TRUE,TRUE,N/A,N/A,TRUE,10,25,50,N/A,N/A,
Multiplayer,Prestige,Spliced Prestige 10,Assassinated,"Get a Kill without taking damage 20 times while using the Recon Combat Specialty",TRUE,TRUE,TRUE,N/A,N/A,TRUE,5,10,20,N/A,N/A,
Multiplayer,Prestige,Spliced Prestige 10,Cashing In,"Earn 10000 bonus Score from the Strategist Combat Specialty",TRUE,TRUE,TRUE,N/A,N/A,TRUE,2000,5000,10000,N/A,N/A,
Multiplayer,Prestige,Ancient Veteran Prestige Master,Blood Drink,"Earn 50 Bloodthirsty Medals",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,20,30,40,50,
Multiplayer,Prestige,Ancient Veteran Prestige Master,Warmonger,"Destroy 75 Scorestreaks Equipment or Field Upgrades",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,15,30,45,60,75,
Multiplayer,Prestige,Ancient Veteran Prestige Master,Big Game Hunter,"Earn 125 One Shot One Kill Medals",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25,50,75,100,125,
Multiplayer,Prestige,Ancient Veteran Prestige Master,Pack Mentality,"Get 250 Objective Kills",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,50,100,150,200,250,
Multiplayer,Prestige,Ancient Veteran Prestige Master,Skull Collector,"Get 500 Headshots",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100,200,300,400,500,
Multiplayer,Prestige,Ancient Veteran Prestige Master,Well-Laid Plans,"Get 125 Kills with Lethals or Field Upgrades",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25,50,75,50,125,
Multiplayer,Dark Ops,Dark Ops,Frenzy Killer,"Get a Frenzy Kill Medal",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,Mega Killer,"Get a Mega Kill Medal",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,Ultra Killer,"Get an Ultra Kill Medal",FALSE,N/A,N/A,N/A,N/A,FALSE,1,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,Chain Killer,"Get a Chain Kill Medal",FALSE,N/A,N/A,N/A,N/A,FALSE,1,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,Relentless Killer,"Earn a Relentless Medal",FALSE,N/A,N/A,N/A,N/A,FALSE,1,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,Brutal Killer,"Earn a Brutal Medal",FALSE,N/A,N/A,N/A,N/A,FALSE,1,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,Nuclear Killer,"Earn a Nuclear Medal",FALSE,N/A,N/A,N/A,N/A,FALSE,1,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,100k,"Get 100000 Eliminations",FALSE,N/A,N/A,N/A,N/A,FALSE,100000,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,Very Nuclear,"Earn a Nuke with 25 different Weapons",FALSE,N/A,N/A,N/A,N/A,FALSE,25,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,Nuked Out,"Earn a Nuke in FFA without using Scorestreaks",FALSE,N/A,N/A,N/A,N/A,FALSE,1,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,Circus Act,"Earn a Bankshot Medal with the Combat Axe",FALSE,N/A,N/A,N/A,N/A,FALSE,1,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,Extreme Precision,"Get 5 Headshots with a Sniper Rifle without reloading or dying",FALSE,N/A,N/A,N/A,N/A,FALSE,1,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,Pushing the Limits,"Unlock all Overclocks for 40 different items",FALSE,N/A,N/A,N/A,N/A,FALSE,40,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,Same Day Delivery,"Get 2 or more kills with a single Body Shield Explosion",FALSE,N/A,N/A,N/A,N/A,FALSE,1,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,Touch Grass,"Reach Weapon Prestige Master Max Level with 30 Weapons",FALSE,N/A,N/A,N/A,N/A,FALSE,30,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,Trip Cap,"Control all 3 objectives in Domination for 3 minutes straight",FALSE,N/A,N/A,N/A,N/A,FALSE,1,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,Castled,"Get 10 Kills without leaving one Objective Zone",FALSE,N/A,N/A,N/A,N/A,FALSE,1,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,Reverse Card,"Kill an enemy with the explosion caused by shooting enemy Equipment or Field Upgrade",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,Gift Horse,"Kill an enemy with the Scorestreak you stole from their Care Package",FALSE,N/A,N/A,N/A,N/A,FALSE,1,N/A,N/A,N/A,N/A,
Multiplayer,Dark Ops,Dark Ops,Hardcore Parkour,"Finish the Ascent Freerun course in under 10 minutes 30 seconds with no Faults",FALSE,N/A,N/A,N/A,N/A,FALSE,1,N/A,N/A,N/A,N/A,
