map,category,item,earned
Astra Malorum,Pack-a-Punch Camos,Hycean,TRUE
Astra Malorum,Pack-a-Punch Camos,Exoplanet,TRUE
Astra Malorum,Pack-a-Punch Camos,Crystalline Fracture,FALSE
Astra Malorum,Pack-a-Punch Camos,Void Fracture,FALSE
Astra Malorum,Pack-a-Punch Camos,Amethyst Fracture,FALSE
Astra Malorum,Relics,Gong,FALSE
Astra Malorum,Relics,Seed,FALSE
Astra Malorum,Relics,Spider Fang,FALSE
Astra Malorum,Relics,Matryoshka Dolls,FALSE
Astra Malorum,Relics,Golden Spork,FALSE
Astra Malorum,Relics,Civil Protector Head,FALSE
Astra Malorum,Starting Room,Gobblegum - Hidden Power,FALSE
Astra Malorum,Starting Room,Calling Card - Noir Stand Off,FALSE
Astra Malorum,Starting Room,Calling Card - Vivid Stand Off,FALSE
Paradox Junction,Main Quest,Calling Card - Paradox Junction Directed Mode Completion,FALSE
Paradox Junction,Main Quest,Blundergat Blueprint - Timeshatter,FALSE
Paradox Junction,Main Quest,Calling Card - Paradox Junction Standard Completion,FALSE
Paradox Junction,Main Quest,Blundergat Blueprint - Heartbreaker (Standard),FALSE
Paradox Junction,Main Quest,Calling Card - Dead End,FALSE
Paradox Junction,Main Quest,Blundergat Blueprint - Heartbreaker (Cursed III),FALSE
Paradox Junction,Pack-a-Punch Camos,Playtime,FALSE
Paradox Junction,Pack-a-Punch Camos,Doode,FALSE
Paradox Junction,Pack-a-Punch Camos,Portent,FALSE
Paradox Junction,Pack-a-Punch Camos,Void Storm,FALSE
Paradox Junction,Pack-a-Punch Camos,Ardor Storm,FALSE
Paradox Junction,Pack-a-Punch Camos,Sanguine Storm,FALSE
Paradox Junction,Relics,Rocket,FALSE
Paradox Junction,Relics,Summoning Key,FALSE
Paradox Junction,Relics,Mangler Helmet,FALSE
Paradox Junction,Starting Room,Gobblegum - Armor Gettin',FALSE
Paradox Junction,Starting Room,Calling Card - Noir Prowlers,FALSE
Paradox Junction,Starting Room,Calling Card - Vivid Prowlers,FALSE
Totenreich,Main Quest,Calling Card - Totenreich Directed Mode Completion,FALSE
Totenreich,Main Quest,Weaver Operator Skin - Dead Man's Drip,FALSE
Totenreich,Main Quest,Calling Card - Totenreich Standard Completion,FALSE
Totenreich,Main Quest,Richtofen Operator Skin - Ambition (Standard),FALSE
Totenreich,Main Quest,Calling Card - Toten Meister,FALSE
Totenreich,Main Quest,Richtofen Operator Skin - Ambition (Cursed III),FALSE
Totenreich,Pack-a-Punch Camos,Bygone,FALSE
Totenreich,Pack-a-Punch Camos,Glyph,FALSE
Totenreich,Pack-a-Punch Camos,Prodigal,FALSE
Totenreich,Pack-a-Punch Camos,Jade Legion,FALSE
Totenreich,Pack-a-Punch Camos,Crimson Legion,FALSE
Totenreich,Pack-a-Punch Camos,Heliotrope Legion,FALSE
Totenreich,Relics,Power Switch,FALSE
Totenreich,Relics,Wrestlers Belt,FALSE
Totenreich,Relics,Stuffed Elephant,FALSE
Totenreich,Relics,Dancing Arnie,FALSE
Totenreich,Relics,Agarthan Device,FALSE
Totenreich,Relics,Music Box,FALSE
Totenreich,Starting Room,Gobblegum - Flavor Hex,FALSE
Totenreich,Starting Room,Calling Card - Cold Reel,FALSE
Totenreich,Starting Room,Calling Card - Aether Fisher,FALSE
Survival - Vandorn Farm,Survival Rewards,Emblem - Zursa Roaring,TRUE
Survival - Vandorn Farm,Survival Rewards,Charm - Fetch Their Souls,TRUE
Survival - Vandorn Farm,Survival Rewards,Gobblegum - Gift Card,TRUE
Survival - Vandorn Farm,Survival Rewards,Gobblegum - Hidden Power (Cursed T1),FALSE
Survival - Vandorn Farm,Survival Rewards,Gobblegum - Wonderbar! (Cursed T2),FALSE
Survival - Vandorn Farm,Survival Rewards,Charm - Blood Vials (Cursed T3),FALSE
Survival - Exit 115,Survival Rewards,Emblem - Chef's Special,TRUE
Survival - Exit 115,Survival Rewards,Charm - Ravaged,TRUE
Survival - Exit 115,Survival Rewards,Gobblegum - Perkaholic,TRUE
Survival - Exit 115,Survival Rewards,Gobblegum - Reign Drops (Cursed T1),FALSE
Survival - Exit 115,Survival Rewards,Gobblegum - Near Death Experience (Cursed T2),FALSE
Survival - Exit 115,Survival Rewards,Charm - Dragon Wings (Cursed T3),FALSE
Survival - Zarya Cosmodrome,Survival Rewards,Emblem - Cymballistic,TRUE
Survival - Zarya Cosmodrome,Survival Rewards,Charm - Zursa Minor,TRUE
Survival - Zarya Cosmodrome,Survival Rewards,Gobblegum - Wonderbar! (Round 50),FALSE
Survival - Zarya Cosmodrome,Survival Rewards,Gobblegum - Time Out (Cursed T1),FALSE
Survival - Zarya Cosmodrome,Survival Rewards,Gobblegum - Wonderbar! (Cursed T2),FALSE
Survival - Zarya Cosmodrome,Survival Rewards,Charm - Rocket (Cursed T3),FALSE
Survival - Mars,Survival Rewards,Emblem - Decaying Orbit,TRUE
Survival - Mars,Survival Rewards,Charm - Phase 5,TRUE
Survival - Mars,Survival Rewards,Gobblegum - Gift Card (Round 50),FALSE
Survival - Mars,Survival Rewards,Gobblegum - Hidden Power (Cursed T1),FALSE
Survival - Mars,Survival Rewards,Gobblegum - Reign Drops (Cursed T2),FALSE
Survival - Mars,Survival Rewards,Charm - Golden Spork (Cursed T3),FALSE
Survival - Ashwood,Survival Rewards,Emblem - Klaus Der Toten,TRUE
Survival - Ashwood,Survival Rewards,Charm - Abomination Carcass,TRUE
Survival - Ashwood,Survival Rewards,Gobblegum - Hidden Power (Round 50),FALSE
Survival - Ashwood,Survival Rewards,Gobblegum - Time Out (Cursed T1),FALSE
Survival - Ashwood,Survival Rewards,Gobblegum - Perkaholic (Cursed T2),FALSE
Survival - Ashwood,Survival Rewards,Charm - Mannequin Turret (Cursed T3),FALSE
Survival - Nuked,Survival Rewards,Emblem - Population: Just You,TRUE
Survival - Nuked,Survival Rewards,Charm - Sign of the Time,TRUE
Survival - Nuked,Survival Rewards,Gobblegum - Time Out (Round 50),FALSE
Survival - Nuked,Survival Rewards,Gobblegum - Hidden Power (Cursed T1),FALSE
Survival - Nuked,Survival Rewards,Gobblegum - Gift Card (Cursed T2),FALSE
Survival - Nuked,Survival Rewards,Charm - Teddy Bear (Cursed T3),FALSE
Haven's Hollow,Calling Cards,Blood Moon Ritual,TRUE
Haven's Hollow,Calling Cards,Security Booth,TRUE
Haven's Hollow,Calling Cards,Waterfall Cave,TRUE
Haven's Hollow,Charm,Pied Piper,TRUE
Haven's Hollow,Emblem,Wanted,TRUE
Haven's Hollow,Weapon Decal,Beast Keepsake,TRUE
Rebirth Island,Blueprints,Dravec 45 - Nova-7 Proto Mk.4,FALSE
Rebirth Island,Weapon Sticker,Redacted Contract,FALSE
Rebirth Island,Emblem,Beyond Step,FALSE
Rebirth Island,Trail,Cipher,FALSE
Rebirth Island,Loading Screen,Librarian,FALSE
